Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
4788,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,173.241.240.143,443   , 157.190.150.80,50550 
4789,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 177.234.174.84,33689 , 157.190.252.29,23    
4790,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,190.152.141.198,46069 ,157.190.172.143,23    
4791,2017-10-23 16:19:41.814,0.0, TCP,......,0,0,0,1.0, 157.190.38.205,55662 ,   23.100.86.91,443   
4792,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   74.72.190.74,37378 ,157.190.181.219,23    
4793,2017-10-23 16:19:41.834,0.0, UDP,......,0,0,0,1.0,   157.190.3.45,53514 ,  64.235.144.34,53    
4794,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  172.28.26.179,53919 ,  47.73.170.156,5094  
4795,2017-10-23 16:19:41.844,0.0, UDP,......,0,0,0,1.0,   172.28.19.54,64546 ,    193.1.186.2,53    
4796,2017-10-23 16:19:11.602,0.0, TCP,......,0,0,969,1.0,   172.28.8.142,64884 , 23.212.230.186,443   
4797,2017-10-23 16:19:11.602,0.0, TCP,......,0,0,969,1.0,   172.28.8.142,64884 , 23.212.230.186,443   
4798,2017-10-23 16:19:11.602,0.0, TCP,......,0,0,706,1.0,   172.28.8.142,64886 , 23.212.230.186,443   
4799,2017-10-23 16:19:11.602,0.0, TCP,......,0,0,706,1.0,   172.28.8.142,64886 , 23.212.230.186,443   
4800,2017-10-23 16:19:11.602,0.0, TCP,......,0,0,676,1.0,   172.28.8.142,64885 , 23.212.230.186,443   
4801,2017-10-23 16:19:11.602,0.0, TCP,......,0,0,676,1.0,   172.28.8.142,64885 , 23.212.230.186,443   
4802,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 179.111.213.90,48701 , 157.190.76.217,23    
4803,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   218.94.29.59,33351 ,157.190.119.216,1962  
4804,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,      5.101.0.9,51418 ,157.190.186.183,22    
4805,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,141.212.122.103,50023 , 157.190.166.40,1900  
4806,2017-10-23 16:19:41.784,0.0, TCP,......,0,0,0,1.0,  157.190.35.36,60055 ,169.254.169.254,80    
4807,1970-01-01 01:00:00.000,0.0, UDP,......,0,0,0,1.0,  172.28.21.208,16403 , 17.173.254.222,16384 
