,Proto,Flows,Bytes,src_ips,dst_ips
483,UDP,1.0,87750, 157.190.145.60,  157.190.26.48
484,UDP,1.0,44, 157.190.150.20,    193.1.186.2
485,UDP,1.0,109,   157.190.23.7,    193.1.186.2
486,UDP,1.0,97,   157.190.23.7,    193.1.186.2
487,UDP,1.0,57,   157.190.23.7,    193.1.186.2
488,UDP,1.0,85,   157.190.23.7,    193.1.186.2
489,UDP,1.0,55,   157.190.23.7,    193.1.186.2
490,UDP,1.0,78,   157.190.23.2,    193.1.186.2
491,UDP,1.0,54,   157.190.23.7,    193.1.186.2
492,UDP,1.0,44,   157.190.23.7,    193.1.186.2
493,UDP,1.0,59,   157.190.23.7,    193.1.186.2
494,UDP,1.0,60,   157.190.23.7,    193.1.186.2
495,UDP,1.0,58,   157.190.23.7,    193.1.186.2
496,UDP,1.0,91,   157.190.23.7,    193.1.186.2
497,UDP,1.0,65,   157.190.23.7,    193.1.186.2
498,TCP,1.0,1685,  172.28.27.168,  17.188.166.11
499,UDP,1.0,44,   172.28.17.43,    193.1.186.2
500,UDP,1.0,30,  172.28.18.143,    193.1.186.3
501,UDP,1.0,30,   172.28.24.46,    193.1.186.3
502,UDP,1.0,2390, 157.190.130.89,  209.85.203.95
503,TCP,1.0,450,  157.190.49.45,  52.85.200.130
504,TCP,1.0,1350, 157.190.148.95, 192.229.233.50
505,TCP,1.0,1398, 157.190.148.95, 192.229.233.50
506,TCP,1.0,975, 157.190.148.95,  104.244.42.65
507,UDP,1.0,32, 172.28.247.113,    193.1.186.2
508,UDP,1.0,38,  172.28.24.177,    193.1.186.2
509,UDP,1.0,38,  172.28.24.177,    193.1.186.3
510,UDP,1.0,39,  172.28.24.177,    193.1.186.2
511,UDP,1.0,39,  172.28.24.177,    193.1.186.3
512,UDP,1.0,41,  172.28.24.177,    193.1.186.3
513,TCP,1.0,0,  172.28.28.176,   52.0.253.123
514,TCP,1.0,13939,   172.28.4.102, 209.85.202.153
515,TCP,1.0,13939,   172.28.4.102, 209.85.202.153
516,TCP,1.0,0,  179.105.74.82,  157.190.19.14
517,TCP,1.0,2,  157.190.42.37,  23.212.229.95
518,TCP,1.0,2,  157.190.42.37,  63.215.202.75
519,TCP,1.0,1, 157.190.43.195, 209.85.202.102
520,TCP,1.0,0, 157.190.134.77,  40.101.69.226
521,TCP,1.0,7240, 157.190.152.83, 162.125.18.133
522,TCP,1.0,434,   157.190.39.9,     31.13.90.2
523,TCP,1.0,1011,  172.28.24.177, 162.125.18.133
524,TCP,1.0,1008, 157.190.52.154, 162.125.18.133
525,TCP,1.0,23397,157.190.153.127,   13.107.6.160
526,TCP,1.0,80,157.190.150.100,205.204.101.142
527,TCP,1.0,0,   172.28.21.99, 64.233.164.188
528,TCP,1.0,0,157.190.153.107,   40.101.42.82
529,TCP,1.0,13050,  172.28.31.148,   104.244.42.2
530,UDP,1.0,48,   172.28.30.36,    193.1.186.3
531,TCP,1.0,2534,   172.28.1.184, 209.85.202.153
532,UDP,1.0,16,157.190.137.121,   192.168.1.10
533,TCP,1.0,1194, 157.190.43.137,    23.23.99.12
534,UDP,1.0,35,   172.28.9.203,    193.1.186.3
535,UDP,1.0,48,   172.28.30.36,    193.1.186.2
536,UDP,1.0,32,  172.28.29.120,    193.1.186.2
537,UDP,1.0,32,  172.28.29.120,    193.1.186.3
538,UDP,1.0,22,  172.28.23.171,    193.1.186.2
539,TCP,1.0,2254,  157.190.41.41, 209.85.202.100
540,UDP,1.0,64,  172.28.27.171,    193.1.186.2
541,UDP,1.0,42,   172.28.22.70,    193.1.186.2
542,UDP,1.0,43,  172.28.28.210,    193.1.186.2
543,UDP,1.0,35,  172.28.22.134,    193.1.186.2
544,UDP,1.0,0,   172.28.9.213,    193.1.186.2
545,UDP,1.0,48,   172.28.9.213,    193.1.186.2
546,UDP,1.0,0,    172.28.2.27,    193.1.186.2
547,UDP,1.0,33,    172.28.2.27,    193.1.186.2
548,UDP,1.0,0,  172.28.25.199,    193.1.186.2
549,UDP,1.0,31,  172.28.25.199,    193.1.186.2
550,UDP,1.0,0,  172.28.28.101,    193.1.186.2
551,UDP,1.0,40,  172.28.28.101,    193.1.186.2
552,TCP,1.0,0,  109.248.9.246,  157.190.249.8
553,TCP,1.0,3189,   172.28.3.225,     31.13.90.2
554,TCP,1.0,440,  172.28.21.231,   157.240.1.13
555,TCP,1.0,318,   172.28.31.92,104.154.127.216
556,TCP,1.0,0,   157.190.0.80, 40.101.126.130
557,TCP,1.0,2,  172.28.28.107, 209.85.202.101
558,TCP,1.0,0, 157.190.153.76,  40.101.72.178
559,TCP,1.0,4, 157.190.129.80,  157.55.56.172
560,UDP,1.0,48, 157.190.133.60,  193.1.219.116
561,UDP,1.0,52,   157.190.23.7,    193.1.186.2
562,TCP,1.0,0, 157.190.140.61, 40.101.126.130
563,UDP,1.0,48, 157.190.147.93,  17.253.52.253
564,UDP,1.0,0,   172.28.4.190,    193.1.186.3
565,UDP,1.0,0,  172.28.24.246,    193.1.186.2
566,UDP,1.0,48,  172.28.24.246,    193.1.186.2
567,TCP,1.0,0, 185.27.210.123,   157.190.55.8
568,TCP,1.0,0,  116.73.215.53, 157.190.41.253
569,UDP,1.0,0,  172.28.27.156,    193.1.186.2
570,TCP,1.0,4318,   172.28.21.78, 162.247.242.18
571,TCP,1.0,15684, 157.190.152.71, 40.101.125.210
572,TCP,1.0,1414,  157.190.37.74,  46.183.240.21
573,TCP,1.0,1,  172.28.24.201, 151.101.36.246
574,TCP,1.0,1,  172.28.24.201, 151.101.36.246
575,TCP,1.0,1,  172.28.24.201, 151.101.36.246
576,TCP,1.0,1,  172.28.24.201, 151.101.36.246
577,TCP,1.0,1,  172.28.24.201, 151.101.36.246
578,TCP,1.0,1,  172.28.25.183,  72.247.83.161
